"nameWithOwner","createdAt","stargazers","watchers","forks"
"Netflix/ribbon","2013-01-15T01:08:04Z","{""totalCount"":3730}","{""totalCount"":621}","{""totalCount"":961}"
"androidx/androidx","2020-04-17T19:17:41Z","{""totalCount"":2031}","{""totalCount"":78}","{""totalCount"":151}"
"radkovo/CSSBox","2014-01-05T22:02:40Z","{""totalCount"":168}","{""totalCount"":24}","{""totalCount"":66}"
"entando/entando-core","2014-08-22T14:23:11Z","{""totalCount"":82}","{""totalCount"":23}","{""totalCount"":35}"
"OpenJML/OpenJML","2015-06-30T20:40:28Z","{""totalCount"":75}","{""totalCount"":12}","{""totalCount"":19}"
"radkovo/jStyleParser","2014-01-02T21:12:24Z","{""totalCount"":69}","{""totalCount"":9}","{""totalCount"":44}"
"by-syk/ColorReference","2016-04-04T13:24:07Z","{""totalCount"":44}","{""totalCount"":3}","{""totalCount"":10}"
"Squarespace/template-compiler","2015-05-20T14:24:32Z","{""totalCount"":32}","{""totalCount"":20}","{""totalCount"":6}"
"saisasanksunkavalli/RoundedHorizontalProgressBar","2017-02-19T14:19:30Z","{""totalCount"":24}","{""totalCount"":2}","{""totalCount"":9}"
"quaap/Primary","2016-12-02T01:00:20Z","{""totalCount"":20}","{""totalCount"":3}","{""totalCount"":11}"
"nadimgouia/CoolToast","2017-08-26T17:07:14Z","{""totalCount"":20}","{""totalCount"":2}","{""totalCount"":7}"
"Thutmose/Pokecube","2015-11-26T20:06:48Z","{""totalCount"":19}","{""totalCount"":17}","{""totalCount"":9}"
"kingspp/Android-TCP-IP-Socket","2015-07-10T14:29:18Z","{""totalCount"":19}","{""totalCount"":1}","{""totalCount"":22}"
"mvallim/java-fluent-validator","2019-08-10T02:12:08Z","{""totalCount"":19}","{""totalCount"":6}","{""totalCount"":3}"
"otrosien/uuid-jpa-rest-example","2016-03-10T13:12:11Z","{""totalCount"":17}","{""totalCount"":1}","{""totalCount"":8}"
"breakingsword/Android-Primary-Road","2016-09-12T03:44:52Z","{""totalCount"":16}","{""totalCount"":4}","{""totalCount"":9}"
"codehaus/jcsp","2012-04-16T08:58:53Z","{""totalCount"":10}","{""totalCount"":5}","{""totalCount"":9}"
"usf-cs212-2017/lectures","2016-12-06T04:03:13Z","{""totalCount"":9}","{""totalCount"":7}","{""totalCount"":5}"
"oracle/sales-cloud-with-paas-samples","2016-02-15T16:14:34Z","{""totalCount"":8}","{""totalCount"":15}","{""totalCount"":12}"
"latemic/ColorBooth","2011-02-24T10:27:51Z","{""totalCount"":8}","{""totalCount"":1}","{""totalCount"":4}"
"SiteMorph/protostore","2013-10-25T18:10:54Z","{""totalCount"":8}","{""totalCount"":3}","{""totalCount"":2}"
"hornhuang/android_primary_4_animationandgestures","2019-06-14T02:41:59Z","{""totalCount"":7}","{""totalCount"":0}","{""totalCount"":0}"
"hornhuang/android_primary_4_estureDetector","2019-06-19T08:53:29Z","{""totalCount"":7}","{""totalCount"":0}","{""totalCount"":0}"
"MinimumContent/muon","2016-11-20T06:09:21Z","{""totalCount"":7}","{""totalCount"":2}","{""totalCount"":4}"
"sibsankarb4/Integration-between-Oracle-ADF-and-Oracle-E-Business-Suite","2019-01-17T11:07:02Z","{""totalCount"":7}","{""totalCount"":0}","{""totalCount"":3}"
"jcdny/RBloomberg","2010-11-10T18:44:49Z","{""totalCount"":6}","{""totalCount"":2}","{""totalCount"":6}"
"Shashi-Bhushan/trials","2015-12-21T07:07:59Z","{""totalCount"":6}","{""totalCount"":4}","{""totalCount"":1}"
"pavex/react-native-wifi-manager","2017-02-07T16:53:17Z","{""totalCount"":6}","{""totalCount"":2}","{""totalCount"":0}"
"TechnoZoom/NoteMakingMVVMDataBinding","2017-06-16T23:00:40Z","{""totalCount"":6}","{""totalCount"":1}","{""totalCount"":0}"
"pandyav/Primary-Flight-Display-PFD-","2014-11-16T18:45:20Z","{""totalCount"":5}","{""totalCount"":2}","{""totalCount"":2}"
"The-Hive-of-Five/Interstellar-Merchant","2019-01-12T23:24:46Z","{""totalCount"":5}","{""totalCount"":0}","{""totalCount"":0}"
"NeedsMorePie/FFT-Analyze-Record","2015-01-30T18:04:19Z","{""totalCount"":5}","{""totalCount"":3}","{""totalCount"":2}"
"CAPS-Robotics/unofficial-frc-game-frame","2017-05-20T15:32:35Z","{""totalCount"":5}","{""totalCount"":8}","{""totalCount"":0}"
"AbeelLab/genometools","2013-09-03T19:04:49Z","{""totalCount"":5}","{""totalCount"":8}","{""totalCount"":0}"
"sina-cb/Tn-seqExplorer","2014-12-17T05:29:34Z","{""totalCount"":5}","{""totalCount"":2}","{""totalCount"":2}"
"cybuch/sample-spring-data-mongo-composite-key","2017-01-29T16:56:32Z","{""totalCount"":4}","{""totalCount"":1}","{""totalCount"":0}"
"polimi-mt-acg/back2school","2018-03-01T14:33:42Z","{""totalCount"":4}","{""totalCount"":2}","{""totalCount"":0}"
"apupeikis/pixelazier","2010-09-01T03:29:16Z","{""totalCount"":4}","{""totalCount"":1}","{""totalCount"":1}"
"rupomsoft/Toast-Silicon","2019-11-06T18:13:28Z","{""totalCount"":4}","{""totalCount"":1}","{""totalCount"":0}"
"SuryaSrikar/Hand_Talk_Translator","2019-09-22T02:33:15Z","{""totalCount"":4}","{""totalCount"":1}","{""totalCount"":1}"
"akkhilaysh/Android-BLE-detection-for-BusModule","2016-11-03T16:49:02Z","{""totalCount"":4}","{""totalCount"":3}","{""totalCount"":5}"
"pratikdimble/Hibernate_Native_Generator_XML","2017-12-28T08:52:46Z","{""totalCount"":4}","{""totalCount"":1}","{""totalCount"":0}"
"Nikita-Jadhav/KNN_HealthCare-Hospital-Management-System","2019-01-04T13:01:12Z","{""totalCount"":4}","{""totalCount"":0}","{""totalCount"":2}"
"hellokoding/jpa-onetoone-sharedprimarykey-springboot-maven-mysql","2015-10-17T14:58:27Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":9}"
"JavaCardOS/Oath-Applet","2015-12-25T12:23:04Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":5}"
"Crazy-MT/festival_sms","2015-12-26T10:19:47Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":1}"
"codehaus/izpack","2012-04-16T08:58:42Z","{""totalCount"":3}","{""totalCount"":3}","{""totalCount"":2}"
"frc5567/2019-Robot","2019-01-08T20:32:31Z","{""totalCount"":3}","{""totalCount"":5}","{""totalCount"":0}"
"BjerknesClimateDataCentre/QuinCe","2015-04-07T10:35:48Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":4}"
"kodapan/kodapan-entity-store","2010-07-13T23:18:13Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":1}"
"novoda/storage-path-finder","2018-06-18T14:06:29Z","{""totalCount"":3}","{""totalCount"":27}","{""totalCount"":0}"
"ShardBytes/Evolutions","2018-05-13T19:02:34Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":0}"
"Lomztein/Semesterproject01-Gruppe30-2018","2018-09-11T08:55:49Z","{""totalCount"":3}","{""totalCount"":4}","{""totalCount"":0}"
"ndorigatti/MultiColorProgressBar","2014-07-30T17:12:14Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":0}"
"shahria73/Fotoshop-G-14","2019-03-08T15:24:20Z","{""totalCount"":3}","{""totalCount"":0}","{""totalCount"":0}"
"Planumex/Planumex-Blockchain","2018-11-20T03:54:04Z","{""totalCount"":3}","{""totalCount"":2}","{""totalCount"":1}"
"pratikdimble/Hibernate_UUID_Generator_XML","2017-12-28T08:11:59Z","{""totalCount"":3}","{""totalCount"":1}","{""totalCount"":0}"
"dragona/survey","2020-02-12T04:00:25Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":43}"
"SoftwareEconomics/primary-ports-kata","2019-04-14T11:56:55Z","{""totalCount"":2}","{""totalCount"":2}","{""totalCount"":6}"
"SurendraVidiyala/BankingApp","2018-01-23T20:26:27Z","{""totalCount"":2}","{""totalCount"":0}","{""totalCount"":10}"
"DotFreelance/To-Do-Bot","2016-01-12T22:22:31Z","{""totalCount"":2}","{""totalCount"":7}","{""totalCount"":5}"
"VHAINNOVATIONS/Telepathology","2015-03-27T14:37:44Z","{""totalCount"":2}","{""totalCount"":13}","{""totalCount"":6}"
"gavinxxxxxx/Primary","2017-04-26T03:23:35Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"wanxuedong/PrimaryExercises","2019-12-27T05:17:43Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"OpenSTL/STLCourts-api","2015-09-17T15:19:20Z","{""totalCount"":2}","{""totalCount"":15}","{""totalCount"":2}"
"GuoZhaoHui628/PrimaryCustomView","2017-12-28T02:49:28Z","{""totalCount"":2}","{""totalCount"":0}","{""totalCount"":0}"
"Jennifer331/BitmapPrimaryDemo","2015-12-10T04:00:03Z","{""totalCount"":2}","{""totalCount"":2}","{""totalCount"":1}"
"helipilot50/store-primary-key","2015-10-06T23:27:53Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"Shallow-Xu/union_primary_key","2017-07-12T09:28:25Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":1}"
"itqpleyva/CompositePrimaryKeyJPA","2020-05-18T19:22:39Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"wchkong/niuke-primary-algorithm-course","2019-08-06T14:54:45Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"DysaniazzZ/HelloAndroid","2016-09-08T10:32:01Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"cjqCN/tinypk","2019-01-10T15:33:17Z","{""totalCount"":2}","{""totalCount"":0}","{""totalCount"":0}"
"picketbox-back/picketbox-infinispan","2012-08-02T16:46:47Z","{""totalCount"":2}","{""totalCount"":3}","{""totalCount"":1}"
"RED-M0CKING-LINE/Team5183Robot2020J","2019-07-07T05:27:15Z","{""totalCount"":2}","{""totalCount"":2}","{""totalCount"":0}"
"3kuai/hanbo-jdbc","2018-11-07T09:56:59Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":2}"
"midn1/majc","2016-07-04T10:17:40Z","{""totalCount"":2}","{""totalCount"":2}","{""totalCount"":0}"
"codehaus/mrp","2012-04-16T08:58:42Z","{""totalCount"":2}","{""totalCount"":2}","{""totalCount"":2}"
"SoaringPhoenix/Memorandum_by_Freeman","2018-03-22T07:09:51Z","{""totalCount"":2}","{""totalCount"":0}","{""totalCount"":0}"
"codehaus/gpars","2012-04-16T08:58:39Z","{""totalCount"":2}","{""totalCount"":3}","{""totalCount"":1}"
"wenxin666/hellodata","2019-06-23T18:28:01Z","{""totalCount"":2}","{""totalCount"":0}","{""totalCount"":0}"
"itsaky/PreUI","2019-10-03T15:39:41Z","{""totalCount"":2}","{""totalCount"":2}","{""totalCount"":2}"
"ferlandlab/BranchAnalysis2D-3D","2017-10-16T21:34:50Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":1}"
"NCIP/rembrandt","2013-09-16T14:40:18Z","{""totalCount"":2}","{""totalCount"":11}","{""totalCount"":2}"
"DealerDotCom/grinder","2012-06-27T14:25:11Z","{""totalCount"":2}","{""totalCount"":3}","{""totalCount"":2}"
"pressgang-ccms/PressGangCCMSREST","2012-07-24T21:25:11Z","{""totalCount"":2}","{""totalCount"":2}","{""totalCount"":3}"
"hetelek/ColorRecognition","2013-05-28T02:46:52Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"xuevin/SPIE","2010-06-04T01:58:41Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":1}"
"AppleCiderGuy/ImageRecognition","2017-08-07T01:15:12Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"pratikdimble/Hibernate_Inheritance_Mapping_Table_Per_Sub_Class_XML_Using_DAO_Using_Maven","2017-12-16T01:01:46Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"Thalidomide/ImgC","2010-04-11T18:36:25Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"pratikdimble/Hibernate_Component_Mapping_Using_DAO_Using_Maven","2017-12-12T17:27:32Z","{""totalCount"":2}","{""totalCount"":2}","{""totalCount"":0}"
"jeffrschneider/Vertically-Challenged","2012-10-21T17:37:07Z","{""totalCount"":2}","{""totalCount"":1}","{""totalCount"":0}"
"mstao/PrimarySchoolProject","2017-03-13T04:13:07Z","{""totalCount"":1}","{""totalCount"":0}","{""totalCount"":7}"
"usf-cs212-2018/lectures","2018-01-17T22:06:14Z","{""totalCount"":1}","{""totalCount"":2}","{""totalCount"":10}"
"spyros-argyroiliopoulos/codehub-spring-boot","2018-04-26T23:59:40Z","{""totalCount"":1}","{""totalCount"":1}","{""totalCount"":5}"
"NCIP/cadsr-cde-browser","2013-07-29T15:24:48Z","{""totalCount"":1}","{""totalCount"":18}","{""totalCount"":1}"
"Team-73-Git-Gud/CS-2340-Software","2018-01-12T19:54:13Z","{""totalCount"":1}","{""totalCount"":1}","{""totalCount"":2}"
"hellokoding/jpa-hibernate-composite-primary-key-example-with-mysql","2019-01-07T14:13:16Z","{""totalCount"":1}","{""totalCount"":1}","{""totalCount"":3}"
"machintoch1227/PrimarySchool","2017-10-30T00:55:02Z","{""totalCount"":1}","{""totalCount"":0}","{""totalCount"":0}"